Cluster ID	Average SNVs	Average n2n1	pa
1	0.24205007826728	0.3376497680992245	[1, 0, 0, 0, 0]
2	0.24534811379000032	0.33287885686491414	[1, 0, 1, 0, 1]
3	0.5148359112133414	0.2715981375039736	[1, 1, 1, 1, 0]
4	0.1304639500749785	0.3372712372591511	[1, 0, 1, 1, 1]
5	0.32613532038416265	0.2696710975212972	[1, 0, 1, 0, 0]
6	0.1960546605688343	0.34986411521979743	[1, 0, 1, 0, 0]
7	0.3746910093550712	0.32720326629670315	[1, 0, 0, 1, 0]
8	0.3988553844399813	0.34380832689118707	[1, 0, 1, 1, 1]
9	0.2950148786076609	0.23431395755901832	[1, 0, 1, 0, 0]
10	0.21627915177056214	0.2790114482758211	[1, 0, 1, 1, 1]
11	0.44559789813299266	0.3304838348606869	[1, 0, 0, 1, 0]
12	0.38463543537361067	0.2941067598680028	[1, 1, 1, 1, 0]
13	0.18830987963379428	0.3268652904436581	[1, 0, 1, 1, 1]
14	0.3912881072840097	0.3580837506380313	[1, 0, 1, 1, 1]
15	0.18003144654088052	0.23665057357425656	[1, 1, 1, 1, 1]
16	0.23729974675214896	0.336546180026996	[1, 0, 1, 1, 1]
17	0.3388672188210382	0.3336941388488106	[1, 0, 1, 1, 1]
18	0.32057230103032136	0.34279842472530603	[1, 1, 1, 1, 1]
19	0.3971576870670912	0.374099252666147	[1, 0, 1, 1, 1]
20	0.2564018988399692	0.3284991104455801	[1, 0, 1, 1, 1]
21	0.3513592968391239	0.34011619652459335	[1, 0, 1, 1, 1]
22	0.3053953602127567	0.32955240454850615	[1, 1, 1, 1, 1]
23	0.31853178001886934	0.3434814616243203	[1, 1, 1, 1, 1]
24	0.3255510714127839	0.3660289014036923	[1, 1, 1, 1, 1]
25	0.09456985418059423	0.32677264663213856	[1, 0, 1, 1, 1]
26	0.3605393142953286	0.3512814579475884	[1, 0, 1, 1, 1]
27	0.34788954139363126	0.3316688282932199	[1, 1, 1, 1, 0]
28	0.2577326521742542	0.3638566090856304	[1, 1, 1, 1, 1]
29	0.23157070647382838	0.3518680467347276	[1, 0, 1, 1, 1]
30	0.3674806464793768	0.3350332807627741	[1, 0, 1, 1, 1]
31	0.3280819338805633	0.375557148664058	[1, 1, 0, 1, 1]
32	0.4075024941802461	0.3796619714268473	[1, 0, 1, 1, 1]
33	0.30019751901351255	0.3619368056190284	[1, 0, 1, 1, 1]
34	0.29405335298093493	0.3559535720059638	[1, 1, 0, 1, 1]
35	0.35761517694773226	0.32375998236262477	[1, 0, 1, 1, 1]
36	0.282066450087768	0.3002407115775256	[1, 1, 1, 1, 1]
37	0.21877421722823542	0.3316385995779873	[1, 0, 0, 1, 1]
38	0.2696008157967924	0.35780237141603716	[1, 1, 1, 1, 1]
39	0.2999023110416434	0.38131982261631925	[1, 1, 1, 1, 1]
40	0.40982451796198427	0.3269578577701774	[1, 1, 1, 0, 0]
41	0.38331697742885185	0.34369232786483783	[1, 1, 1, 1, 1]
42	0.22848837209302325	0.31330846446458305	[1, 1, 1, 1, 1]
43	0.24494870913719077	0.3358467350150623	[1, 0, 0, 1, 1]
44	0.26612021541778874	0.2897889415458698	[1, 1, 1, 0, 1]
45	0.237181626971889	0.30674014341520806	[1, 1, 1, 1, 1]
46	0.3100760559905585	0.3622181250151388	[1, 0, 1, 1, 1]
