Cluster ID	Average SNVs	Average n2n1	pa
47	0.34039464123764923	0.35061772080615017	[1, 0, 1, 1, 1]
48	0.30335033428735875	0.37028942007601634	[1, 0, 1, 1, 1]
49	0.34590513656219385	0.33008674056787374	[1, 1, 0, 1, 1]
50	0.2678749239228469	0.3350785719412423	[1, 0, 1, 0, 1]
51	0.28738030660230257	0.33713075280313626	[1, 1, 0, 1, 1]
52	0.2741964470614054	0.3461772810601758	[1, 0, 1, 1, 1]
53	0.3537687693598994	0.3389166001032068	[1, 0, 0, 1, 1]
54	0.34020178905762427	0.3368769883096086	[1, 0, 1, 1, 1]
55	0.28173864133713267	0.3460481087793943	[1, 0, 1, 1, 1]
56	0.38595744680851063	0.39373888288202014	[1, 0, 1, 1, 1]
57	0.384265374127602	0.32489024617697854	[1, 0, 1, 1, 1]
58	0.43335845042329685	0.3065698327320543	[1, 0, 1, 1, 1]
59	0.36690792061582495	0.3295422369230378	[1, 1, 1, 1, 1]
60	0.23101363142402445	0.30183947920822946	[1, 0, 1, 1, 1]
61	0.29017127713691243	0.33461343372317554	[1, 0, 1, 0, 1]
62	0.2869049936721263	0.33819517978246355	[1, 0, 1, 0, 1]
63	0.2113990641291165	0.3534679600507865	[1, 0, 1, 1, 1]
64	0.19212961663749048	0.33985090372795657	[1, 0, 1, 1, 1]
65	0.33493063505362036	0.35428951891044547	[1, 0, 1, 1, 1]
66	0.3610835170109997	0.3416566195955456	[1, 0, 1, 1, 1]
67	0.20000509012576684	0.34892067825950834	[1, 0, 1, 1, 1]
68	0.32886597938144335	0.3351346310582949	[1, 1, 0, 1, 1]
69	0.31634694269081604	0.34750312034665093	[1, 0, 1, 0, 1]
70	0.21900916368236625	0.36566191015858845	[1, 0, 0, 1, 1]
71	0.21906788608487085	0.329993443667376	[1, 1, 1, 1, 1]
72	0.20101563336394657	0.3551387152924412	[1, 1, 1, 1, 1]
73	0.2371900826446281	0.32834830269832926	[1, 1, 1, 1, 1]
74	0.2512606174071151	0.30362164115510437	[1, 1, 1, 1, 1]
75	0.2627155171615121	0.3129548729221595	[1, 1, 1, 1, 1]
76	0.24717518992282664	0.35833611819695366	[1, 1, 1, 1, 1]
77	0.3986270022883295	0.3774839033499693	[1, 0, 0, 1, 1]
78	0.3141847227322806	0.3258084048098307	[1, 0, 0, 1, 1]
79	0.3471123504913666	0.3761275581254015	[1, 0, 0, 1, 1]
80	0.29509886856296924	0.3459055383046937	[1, 0, 1, 1, 1]
81	0.3113408698857962	0.32362826504006403	[1, 0, 1, 1, 1]
82	0.3612974643992056	0.3328350294021255	[1, 0, 1, 1, 1]
83	0.31188324922836974	0.3356099391402835	[1, 0, 1, 1, 1]
84	0.18464148412361198	0.35244616052142114	[1, 0, 1, 0, 1]
85	0.36662080434041594	0.3235278201426164	[1, 1, 1, 0, 0]
86	0.3924205378973105	0.3261356424439418	[1, 1, 1, 0, 0]
87	0.3512061869066903	0.28914600673685875	[1, 1, 1, 1, 0]
88	0.3294579093537118	0.3069977246691802	[1, 0, 1, 1, 1]
89	0.38593022223285034	0.3339753184189374	[1, 0, 1, 1, 1]
90	0.3076297667695008	0.3426125641708564	[1, 0, 1, 1, 1]
91	0.3184672036837327	0.3397548093812147	[1, 0, 1, 1, 1]
92	0.3040710736924545	0.3569036219008512	[1, 1, 1, 1, 1]
93	0.2812516245383775	0.3544237475481679	[1, 0, 1, 1, 1]
94	0.37440365099851164	0.3455542039378393	[1, 0, 1, 1, 1]
95	0.3346664726591778	0.3304790103381996	[1, 0, 1, 1, 1]
96	0.3020280811232449	0.2825152455377751	[1, 0, 1, 1, 1]
97	0.3034319375375043	0.35658999702800703	[1, 0, 1, 1, 1]
98	0.25601186332960085	0.39241187798484994	[1, 0, 1, 1, 1]
99	0.24478417266187052	0.34146429075894547	[1, 0, 1, 1, 1]
100	0.28944604189715956	0.3572188842290917	[1, 1, 0, 1, 1]
101	0.25086867254302136	0.3107400915166897	[1, 0, 1, 1, 1]
102	0.17196114435366092	0.35407793657736975	[1, 0, 1, 1, 1]
103	0.35378790838085283	0.332974821232297	[1, 0, 1, 1, 1]
104	0.29338030703116297	0.3175767974088456	[1, 0, 1, 1, 1]
105	0.28732097773985005	0.3681045034317856	[1, 0, 1, 0, 1]
106	0.2284859208588022	0.34768038663773837	[1, 0, 1, 1, 1]
107	0.26647005261027923	0.32662213211697255	[1, 0, 1, 1, 1]
108	0.3128696913036608	0.3549024647828685	[1, 0, 1, 1, 1]
109	0.25316532686908655	0.3536970369828497	[1, 0, 1, 1, 1]
110	0.38090294329252755	0.3475791079387538	[1, 0, 1, 1, 1]
111	0.37955136540962287	0.35012519893454064	[1, 0, 1, 1, 1]
112	0.41022554293442337	0.3560274829100778	[1, 0, 1, 1, 1]
113	0.3172135410753979	0.35038513240667374	[1, 0, 1, 1, 1]
114	0.22355110483267082	0.28032684221898785	[1, 0, 1, 1, 1]
115	0.2305155199089819	0.31022756898631193	[1, 0, 1, 1, 1]
116	0.3482352025964316	0.35685821465149403	[1, 0, 1, 1, 1]
117	0.3120164498310112	0.3290922975820659	[1, 0, 1, 1, 1]
118	0.30033339412265614	0.3915058892512495	[1, 0, 1, 1, 1]
119	0.34616360169686283	0.34254058836643214	[1, 0, 1, 1, 1]
120	0.19307624399637138	0.3131888727614633	[1, 1, 0, 1, 1]
121	0.2999044973085605	0.4004527580224674	[1, 1, 0, 1, 1]
122	0.3345508290136268	0.32408608196749855	[1, 1, 0, 1, 1]
123	0.34610147806402786	0.31941127801248526	[1, 1, 0, 1, 1]
124	0.20404411764705885	0.377633648677833	[1, 0, 1, 1, 1]
125	0.20102633566044484	0.3485242486733102	[1, 0, 1, 1, 1]
126	0.29838553473656393	0.3321023102046702	[1, 0, 1, 0, 1]
127	0.3420950387413232	0.30958905415790816	[1, 0, 1, 1, 1]
128	0.2827265948667509	0.324902344582089	[1, 1, 0, 1, 1]
129	0.35175026437312557	0.33500394801668804	[1, 0, 1, 1, 1]
130	0.4697961223384952	0.3198579155044449	[1, 0, 1, 1, 1]
131	0.3250183293011782	0.3189754228307039	[1, 0, 1, 1, 1]
132	0.23705882352941177	0.3209772565799147	[1, 0, 1, 1, 1]
133	0.2758734907229772	0.35372457991641776	[1, 0, 1, 1, 1]
134	0.2594720130214665	0.34401414802190133	[1, 1, 1, 0, 1]
135	0.22250421186268995	0.3334451614617349	[1, 1, 1, 0, 1]
136	0.2478988402901446	0.3892412986824202	[1, 1, 1, 0, 1]
137	0.2815940352553625	0.367284369073655	[1, 0, 1, 1, 1]
138	0.23213430639838947	0.27627867452420485	[1, 1, 1, 0, 1]
139	0.22882325499224454	0.3403357571229976	[1, 1, 1, 0, 1]
140	0.28610134174954455	0.2845544849428778	[1, 1, 1, 0, 1]
141	0.4528598608822774	0.3411997287525263	[1, 0, 1, 1, 1]
142	0.19660170719489153	0.3348460803818394	[1, 0, 1, 0, 1]
143	0.32986839352237957	0.33348721914430446	[1, 0, 1, 1, 1]
144	0.34107629755500146	0.3434077810050421	[1, 0, 1, 1, 1]
145	0.40017857774466736	0.3568282268188803	[1, 0, 1, 1, 1]
146	0.3183658788735315	0.3157960729579963	[1, 0, 1, 1, 1]
147	0.33103155644826937	0.31617345775040145	[1, 0, 1, 1, 1]
148	0.16620111731843573	0.2936823234021449	[1, 0, 1, 1, 1]
149	0.32542688448179086	0.3168905696940419	[1, 1, 1, 0, 1]
150	0.3217858869727715	0.33808330092766836	[1, 0, 1, 1, 1]
151	0.27477474655070866	0.38581237855064615	[1, 0, 1, 1, 1]
152	0.23124578030056764	0.4056459755181999	[1, 0, 1, 1, 1]
153	0.24951635106200923	0.3864211422830934	[1, 0, 1, 1, 1]
154	0.24522016725077206	0.28681004906679564	[1, 1, 1, 1, 0]
155	0.3076999424626007	0.32471725410304664	[1, 0, 1, 1, 1]
156	0.26528866634654313	0.3456536449124451	[1, 0, 1, 1, 0]
157	0.3289852876178263	0.3404947652909272	[1, 0, 1, 1, 1]
158	0.26645710034942444	0.3146610834529277	[1, 0, 1, 1, 1]
159	0.3220986796386379	0.3776400791932659	[1, 0, 1, 1, 1]
160	0.36528636338506715	0.368850576990223	[1, 0, 1, 1, 1]
161	0.210902317159926	0.400168285104667	[1, 0, 1, 1, 1]
162	0.1687395165445167	0.32367661235348555	[1, 0, 1, 1, 1]
163	0.31710496664550697	0.34308318869728593	[1, 0, 1, 0, 1]
164	0.31135385915585256	0.3315457751283558	[1, 0, 1, 0, 1]
165	0.3020349244172125	0.3134709648686162	[1, 0, 1, 1, 1]
166	0.16153324050196943	0.35385103862248624	[1, 0, 0, 0, 0]
167	0.19320794590025359	0.2481600625367176	[1, 0, 0, 1, 1]
168	0.3051331001117363	0.3551569550375716	[1, 0, 0, 1, 1]
169	0.3894639469044594	0.36441825737980715	[1, 0, 1, 1, 1]
170	0.2657851004843789	0.29920969498177696	[1, 0, 1, 1, 1]
171	0.23586683417085424	0.29520200353934867	[1, 1, 0, 1, 1]
172	0.3422154564798085	0.35589175967905723	[1, 0, 1, 1, 1]
173	0.3116587347602611	0.3284481009506356	[1, 0, 1, 1, 1]
174	0.35989491306175514	0.34198326205700014	[1, 0, 1, 1, 1]
175	0.3543832773110644	0.3448285147510774	[1, 0, 1, 0, 1]
176	0.18917763875754712	0.27374364425613507	[1, 0, 1, 0, 1]
177	0.3516935127978817	0.34399528010583613	[1, 0, 1, 0, 1]
178	0.23553822342003147	0.3720590994344711	[1, 0, 1, 0, 1]
179	0.3641794443422326	0.340851951410495	[1, 1, 0, 1, 1]
180	0.2207464579895746	0.3697659706282804	[1, 1, 0, 1, 1]
181	0.35695002551050703	0.3352377491551597	[1, 1, 1, 0, 1]
182	0.15997701096271094	0.3015212719488929	[1, 0, 0, 1, 1]
183	0.2506900351217695	0.3320482116236559	[0, 1, 1, 1, 1]
184	0.0992396857367712	0.2689588597167063	[0, 1, 1, 1, 1]
185	0.3823770491803279	0.3432354423184981	[1, 0, 1, 1, 1]
186	0.3448659192684027	0.339144228074252	[1, 0, 1, 1, 1]
187	0.31317659913288703	0.34737540154884206	[1, 0, 1, 1, 1]
188	0.3233155351677425	0.32078487155424185	[1, 0, 1, 1, 1]
189	0.29883092724299304	0.3501915476172829	[1, 1, 0, 1, 1]
190	0.3114897224550658	0.34997287968602653	[1, 0, 1, 1, 1]
191	0.1936432621642834	0.28968342907508876	[1, 0, 1, 1, 1]
192	0.31548246411672287	0.33221269078286686	[1, 1, 0, 0, 1]
193	0.33856251680516813	0.3540759591340904	[1, 0, 1, 1, 1]
194	0.22751597643927118	0.35966531707718524	[1, 1, 0, 1, 1]
195	0.22889762554709756	0.30694510998135865	[1, 0, 1, 1, 1]
196	0.33724832214765105	0.3596980005314926	[1, 0, 1, 1, 1]
197	0.2974265427655258	0.34394277974063475	[1, 0, 1, 1, 1]
198	0.38274831681822596	0.3174515561414075	[1, 0, 1, 1, 1]
199	0.2115118603869972	0.35266184983722226	[1, 0, 1, 1, 1]
200	0.25642877726190727	0.339842820782068	[1, 0, 1, 1, 1]
201	0.185260517535692	0.2824491421342822	[1, 0, 1, 1, 1]
202	0.30106254270637633	0.32181732634430565	[1, 0, 1, 1, 1]
203	0.2706257630969498	0.3452235464619625	[1, 0, 1, 1, 1]
204	0.37495684836257265	0.33905772453457417	[1, 0, 0, 1, 1]
205	0.21813441483198145	0.3249852286296007	[1, 0, 1, 1, 1]
206	0.23342704208374482	0.34379728516814645	[1, 0, 1, 0, 1]
207	0.2707071933640101	0.3462661932616566	[1, 0, 1, 0, 1]
208	0.1964263056815847	0.38413444964012367	[1, 0, 1, 0, 1]
209	0.37446266104105064	0.35120289289424933	[1, 0, 1, 1, 1]
210	0.40643349201282164	0.3449176787451145	[1, 0, 1, 1, 1]
211	0.4030239833159541	0.3238509194339013	[1, 0, 1, 1, 1]
212	0.4143176499161	0.32727955509708506	[1, 0, 1, 1, 1]
213	0.3346423530993078	0.3358629144582688	[1, 1, 1, 0, 1]
214	0.34136926674173124	0.34028363377437065	[1, 1, 1, 0, 0]
215	0.2644859813084112	0.35264974197439186	[1, 0, 1, 1, 1]
216	0.2304557537952307	0.30967416211593135	[1, 0, 1, 1, 1]
217	0.18218299652711312	0.3049240243599428	[1, 0, 1, 0, 1]
218	0.2647967122175619	0.37002132894079515	[1, 1, 1, 1, 0]
219	0.27543613320544647	0.348795973806407	[1, 1, 1, 1, 0]
220	0.2516592920353982	0.31216947692734687	[1, 1, 1, 1, 0]
221	0.33360389610389607	0.3192773343218023	[1, 0, 1, 1, 1]
222	0.42580933344162025	0.3408701848052259	[1, 0, 1, 1, 1]
223	0.2948679502545576	0.32912845304977484	[1, 0, 1, 1, 1]
224	0.429440496862649	0.3624408165901107	[1, 0, 1, 1, 1]
225	0.3193462897526501	0.33663794342013226	[1, 0, 1, 1, 1]
226	0.4396162528216704	0.37105459114595474	[1, 0, 1, 1, 1]
227	0.24970646789114384	0.2887620683227059	[1, 0, 1, 1, 1]
228	0.20851555785625633	0.3909710647574593	[1, 0, 1, 1, 1]
229	0.3856053384175405	0.37441521359823504	[1, 0, 1, 1, 1]
230	0.3146051225078538	0.35804203026950243	[1, 0, 1, 1, 1]
231	0.3391518149488638	0.3551247158038555	[1, 1, 1, 0, 1]
232	0.2944685273686642	0.35518230864509187	[1, 1, 0, 1, 1]
233	0.3017241379310345	0.30426960692288024	[1, 1, 0, 1, 1]
234	0.36906371786377506	0.3283841981600821	[1, 0, 1, 1, 1]
235	0.2608413350618532	0.35017273929988113	[1, 0, 1, 0, 1]
236	0.2213584288052373	0.301644352725478	[1, 0, 1, 0, 1]
237	0.31347962382445144	0.380890247916291	[1, 0, 1, 1, 1]
238	0.3629167146781814	0.36752192941131023	[1, 1, 0, 1, 1]
239	0.395790104517255	0.3528997021287726	[1, 1, 0, 1, 1]
240	0.28510517684341186	0.2941427435055403	[1, 1, 0, 1, 1]
241	0.2861387107391527	0.3328104300200871	[1, 0, 1, 1, 1]
242	0.3648343613335291	0.35108789468774554	[1, 0, 1, 1, 1]
243	0.3123381392477622	0.3363213483691888	[1, 0, 1, 1, 1]
244	0.23990953142023774	0.37833407351078974	[1, 0, 0, 1, 1]
245	0.35588507877664505	0.3299344314611866	[1, 0, 1, 1, 1]
246	0.3060836501901141	0.2957410593691534	[1, 0, 1, 1, 1]
247	0.3860500783516153	0.3420506784341923	[1, 0, 1, 1, 1]
248	0.29300762073259945	0.3436968330186556	[1, 0, 1, 1, 1]
249	0.39328536264909464	0.3842687375431371	[1, 0, 1, 1, 1]
250	0.27561538119620244	0.3345742885531065	[1, 0, 1, 1, 1]
251	0.36379555940863123	0.33398470702652017	[1, 0, 1, 1, 1]
252	0.3707220522958708	0.35147813041277004	[0, 1, 1, 1, 1]
253	0.3211998324035523	0.34951390613992794	[1, 0, 0, 1, 1]
254	0.26516714737518376	0.3073702999193891	[1, 0, 1, 1, 1]
255	0.3695979128637291	0.36478692109920874	[1, 0, 1, 1, 1]
256	0.4173035494387845	0.3594445740000535	[1, 1, 0, 1, 1]
257	0.27660050450050655	0.33121660248255996	[1, 0, 1, 1, 1]
258	0.35060975609756095	0.3141597365003421	[1, 0, 1, 1, 1]
259	0.3731092919757061	0.34125103412898744	[1, 0, 1, 1, 1]
260	0.3455622833204931	0.32636673076374534	[1, 0, 1, 1, 1]
261	0.19904723010953196	0.35305501686089547	[1, 0, 1, 1, 1]
262	0.3560699745718019	0.3935215903576301	[1, 0, 1, 1, 1]
263	0.3555860628408831	0.3344651523395551	[1, 0, 1, 1, 1]
264	0.32551020408163267	0.3412405906608966	[1, 0, 1, 1, 1]
265	0.2547791599801394	0.345217110261259	[1, 0, 1, 1, 1]
266	0.30208973892633106	0.3459384676046443	[1, 0, 1, 1, 1]
267	0.2454149139437545	0.31711728256930055	[1, 0, 1, 1, 1]
268	0.26841178460384923	0.3245357639153096	[1, 0, 1, 1, 1]
269	0.3387727993360237	0.37440218363372163	[1, 0, 1, 1, 1]
270	0.35315789473684206	0.3265078769062414	[1, 0, 1, 1, 1]
271	0.2907241110321862	0.32019879628453524	[1, 0, 1, 1, 1]
272	0.23222880770117	0.3362983556387124	[1, 0, 1, 1, 1]
273	0.30029805398770426	0.332671707972507	[1, 0, 1, 1, 1]
274	0.27674509750127707	0.3315945535552612	[1, 0, 1, 1, 1]
275	0.3480675891804015	0.35037571814409463	[1, 0, 1, 1, 1]
276	0.44610220480877716	0.3557234395997941	[1, 0, 1, 1, 1]
277	0.4324830722802956	0.3779881492134491	[1, 0, 1, 1, 1]
278	0.39505378952342257	0.33189967434435297	[1, 0, 1, 1, 1]
279	0.345518018244944	0.35427818762058555	[1, 0, 1, 1, 1]
280	0.41909333029616336	0.36263837632322427	[1, 0, 0, 1, 1]
281	0.4288039056143206	0.3507298477756314	[1, 0, 1, 1, 1]
282	0.3444458298524956	0.35093184402937994	[1, 0, 1, 1, 1]
283	0.2462352328204018	0.30297487329414763	[1, 1, 0, 1, 1]
284	0.39933373021011587	0.34716591030013033	[1, 1, 0, 1, 1]
285	0.27790432801822323	0.326500293975435	[1, 0, 1, 1, 1]
286	0.3402414119993732	0.3521807733631356	[0, 1, 0, 1, 1]
287	0.2825908886894075	0.3087953609538944	[1, 0, 1, 1, 1]
288	0.31526184933477874	0.3239795111412287	[1, 0, 1, 1, 1]
289	0.27800557324840763	0.36972442070533273	[1, 0, 1, 1, 1]
290	0.3693060890722899	0.3463234173389636	[1, 1, 0, 1, 1]
291	0.21091951144530655	0.2970261944187551	[1, 0, 1, 1, 1]
292	0.19219160261119772	0.4187802408300124	[1, 0, 1, 1, 1]
293	0.13504410373945494	0.22201796928392786	[1, 0, 1, 1, 1]
294	0.4193465877318684	0.3306716678986958	[1, 0, 1, 1, 1]
295	0.25031701005317497	0.35134446696981175	[1, 0, 1, 1, 1]
296	0.36175983576345316	0.3401378879669512	[1, 0, 1, 1, 1]
297	0.29685807150595883	0.3623932698093557	[0, 1, 1, 0, 1]
298	0.26333789329685364	0.3406770361204582	[1, 0, 1, 1, 1]
299	0.29832935560859186	0.3536066417306543	[1, 0, 1, 1, 1]
300	0.22160370053179762	0.32283835974985303	[1, 0, 1, 1, 1]
301	0.2691623245198519	0.3317030492960238	[1, 0, 1, 1, 1]
302	0.27562440042836234	0.31059217996718247	[1, 0, 1, 1, 1]
303	0.2537198293055566	0.3316126688068706	[1, 0, 1, 1, 1]
304	0.22806571017092309	0.3539381531253144	[1, 0, 1, 1, 1]
305	0.376786204951543	0.330535301157981	[1, 0, 1, 1, 1]
306	0.3805355303810504	0.3729585103235125	[1, 0, 1, 1, 1]
307	0.24579220099975035	0.3740561291385235	[1, 0, 1, 1, 1]
308	0.3514269525619869	0.3344996710730954	[1, 0, 1, 1, 1]
309	0.3211362235610285	0.33623980679125465	[1, 0, 1, 1, 1]
310	0.24889632812833756	0.3350891641858116	[1, 0, 1, 1, 1]
311	0.23519362186788154	0.2908896743309497	[1, 0, 1, 1, 1]
312	0.36319742489270385	0.33081500603079933	[1, 0, 1, 1, 1]
313	0.3021113862510759	0.3398247763873812	[1, 0, 1, 1, 1]
314	0.3672014185383905	0.3555462583296683	[1, 0, 0, 1, 1]
315	0.31082092718142634	0.32750961206200535	[1, 0, 1, 1, 1]
316	0.3909658685156894	0.34172573115010446	[1, 0, 1, 1, 1]
317	0.29805734198255285	0.34353676206556605	[1, 0, 1, 1, 1]
318	0.3208601863872404	0.3578248554303837	[1, 0, 1, 1, 1]
319	0.21139785664207258	0.37688574353222126	[1, 0, 1, 1, 1]
320	0.2635232774800751	0.34805123031898083	[1, 0, 1, 0, 1]
321	0.2327401852495404	0.327352591591791	[1, 0, 1, 0, 1]
322	0.28019238229843724	0.3511213706723826	[1, 0, 1, 1, 1]
323	0.22856077701100547	0.3034548341344018	[1, 0, 1, 1, 1]
324	0.20780428705898124	0.31735336515395063	[1, 0, 1, 1, 1]
325	0.27717033585263484	0.3412922100110681	[1, 0, 1, 1, 1]
326	0.16653826305636726	0.34662842037938557	[1, 0, 0, 1, 1]
327	0.23920714582899935	0.33295884304210654	[1, 0, 0, 1, 1]
328	0.38440059568131046	0.27784607474457235	[1, 1, 1, 0, 0]
329	0.30563282336578584	0.3538037959131221	[1, 0, 1, 1, 1]
330	0.3338296109589623	0.308119451451878	[1, 0, 1, 1, 1]
331	0.3119497339438735	0.32706396237177243	[0, 0, 1, 1, 1]
332	0.21924920127795525	0.3777762668330695	[1, 0, 0, 1, 1]
333	0.2967915516479284	0.32250294422794795	[1, 0, 1, 1, 1]
334	0.23691193328602084	0.33804863899813253	[1, 0, 1, 1, 1]
335	0.34491482363009124	0.3617708938067041	[1, 0, 0, 1, 1]
336	0.3295587434537224	0.3522544515602216	[1, 0, 1, 1, 1]
337	0.3967754590046255	0.31394417585562295	[1, 0, 1, 1, 1]
338	0.41204777002218074	0.3646440450620207	[1, 0, 1, 1, 1]
339	0.41971342328579136	0.36183597869287365	[1, 0, 1, 1, 1]
340	0.3147025091921601	0.35441594109510555	[1, 0, 1, 1, 0]
341	0.2307194338533875	0.38190530329819156	[1, 0, 1, 1, 1]
342	0.222221748089097	0.3666528510314128	[1, 0, 1, 1, 1]
343	0.3043956043956044	0.3532287872690458	[1, 0, 1, 1, 1]
344	0.3385409403944828	0.31073938057840117	[1, 0, 1, 1, 1]
345	0.2784417336291802	0.35137374702242374	[1, 0, 1, 1, 1]
346	0.22604065620970132	0.2875172916735445	[1, 0, 1, 1, 1]
347	0.38455436263493137	0.30880925473982374	[1, 0, 1, 1, 1]
348	0.2045437996067866	0.3468460878818237	[1, 0, 1, 1, 1]
349	0.1728585058677607	0.31145903202965586	[1, 0, 1, 1, 1]
350	0.27486910994764396	0.24488447168563376	[1, 0, 1, 1, 1]
351	0.2949220711352287	0.28474683737927675	[1, 0, 1, 1, 1]
352	0.25039346246973365	0.3006028982291392	[1, 0, 1, 1, 1]
353	0.262931011427413	0.30940272695593185	[1, 0, 1, 1, 1]
354	0.24539587917576944	0.32233248267431924	[1, 0, 0, 1, 1]
355	0.22082646808948844	0.3477811438694929	[1, 0, 1, 0, 1]
356	0.18403178304086393	0.3110813787472685	[1, 0, 1, 1, 1]
357	0.2800597791895986	0.3637438165148613	[1, 0, 1, 0, 1]
358	0.2118353749192862	0.3928225353995315	[1, 0, 1, 1, 1]
359	0.22019867549668876	0.3119089883824634	[1, 0, 1, 1, 1]
360	0.3211481844946026	0.3302015597326594	[1, 0, 1, 1, 1]
361	0.2598022061710249	0.3310955964752948	[1, 0, 1, 1, 1]
362	0.19820160725725028	0.3058539878880854	[1, 0, 1, 0, 1]
363	0.28832020930446045	0.33301320114776023	[1, 0, 1, 1, 1]
364	0.34689275719849044	0.3655799849121537	[1, 0, 1, 1, 1]
365	0.3347387048713805	0.31874703779906366	[1, 0, 1, 1, 1]
366	0.2284688995215311	0.3772769107482645	[1, 0, 1, 1, 1]
367	0.40278938075962445	0.366979197614843	[1, 0, 0, 1, 1]
368	0.37767117620459173	0.36166360856511687	[1, 0, 0, 1, 1]
369	0.31213872832369943	0.3670133992793436	[1, 0, 1, 1, 1]
370	0.2812578182054516	0.35047225363720425	[1, 0, 1, 1, 1]
371	0.3435149807137916	0.33011184911171976	[1, 0, 1, 1, 1]
372	0.4151727777520632	0.35260550455168016	[1, 0, 1, 1, 1]
373	0.30349666972801304	0.37784936515631834	[1, 0, 1, 1, 1]
374	0.3672526604727175	0.3868627167755803	[1, 0, 1, 1, 1]
375	0.35059623122911043	0.3145303394293474	[1, 0, 1, 1, 1]
376	0.2848953175705566	0.3529732194114195	[1, 0, 1, 1, 1]
377	0.31654565351180364	0.3374540062823868	[1, 0, 1, 1, 1]
378	0.24991964293117544	0.3376468445764648	[1, 0, 1, 1, 1]
379	0.34535050323147737	0.3186289929308972	[1, 0, 1, 1, 1]
380	0.36026647762475456	0.3336179265085699	[1, 0, 1, 1, 1]
381	0.26595744680851063	0.33506475247892736	[1, 0, 1, 1, 1]
382	0.2177562885619364	0.3305393935392671	[1, 0, 1, 1, 1]
383	0.3183495491219744	0.3600253973522821	[1, 0, 1, 1, 1]
384	0.39542244844119323	0.3059324748491707	[1, 0, 1, 1, 1]
385	0.21394872707851165	0.30687845701717464	[1, 0, 1, 0, 1]
386	0.2619876922554978	0.34225574732992176	[1, 0, 1, 1, 1]
387	0.2645496636257	0.3518982010317603	[1, 0, 1, 1, 1]
388	0.3008621380901404	0.3347918662216606	[1, 1, 0, 1, 1]
