SNVs	n2n1	Set
0.13208502384188697	0.330577019340458	10000
0.2818570023111828	0.33874065976647855	10101
0.3294599224495565	0.31303957014292494	11110
0.30472254255489795	0.3389998823804256	10111
0.2577311940415885	0.3339225777738568	10100
0.3322893116396667	0.333012375768599	10010
0.2748887542851506	0.3330155584536238	11111
0.3117001867110461	0.3408182970403125	11011
0.3123007759592176	0.3410134036238239	10011
0.3686850931259115	0.3103736443531417	11100
0.28174775107024885	0.32734312867393933	11101
0.28550372520379486	0.3298936585301677	10110
0.2916185865269037	0.3252445135850633	01111
0.3081059296068209	0.3370080528771346	11001
0.30458480839376706	0.3439212856809146	01011
0.29497448507948115	0.34310172060864785	01101
0.3378715187505573	0.34066379823798215	00111
0.22690817136089092	0.32200776531092745	00001
0.25836123615224943	0.3343066080583532	00101
0.27148896003469003	0.33860592088268004	11010
0.3010115563775785	0.3430177739690183	10001
0.15600685531328004	0.3077205970222182	00100
0.24469321366004515	0.33387435277228306	11000
0.30217100192805846	0.35106963762377774	00011
0.06606096959034477	0.34982833938316366	01010
0.19724440249163355	0.32546439773659125	00110
0.20121027604613262	0.3094224588750572	00010
0.16756664655995068	0.2887355018519847	01000
0.3230098383082219	0.3351930707719349	01001
