SNVs	n2n1	Set
1.2323903343709404	0.24205007826728	00
0.5412002993964004	0.24534811379000032	011
0.8034564270978289	0.5148359112133414	0110
1.1310379376933823	0.1304639500749785	01111
0.719326347470095	0.32613532038416265	0101
0.42301031763216235	0.1960546605688343	0111
1.7180440143985776	0.3746910093550712	0001
0.8276474494219372	0.3988553844399813	00110
0.7444808090266306	0.2950148786076609	0101
0.8426938437301226	0.21627915177056214	001111
1.7299940635198532	0.44559789813299266	000
0.2809248085621664	0.38463543537361067	01000
0.6751950249115949	0.18830987963379428	001
0.5771138391279431	0.3912881072840097	00001
0.7621496349484012	0.18003144654088052	00
0.5455996191366553	0.23729974675214896	0100
0.856688997624518	0.3388672188210382	0110
0.5245840356840621	0.32057230103032136	000
0.5413663795476228	0.3971576870670912	001
0.36716181994335173	0.2564018988399692	011001
0.8519334712946464	0.3513592968391239	00111
0.5514250441151068	0.3053953602127567	0001
0.8172819217752425	0.31853178001886934	0110
0.34484591222028427	0.3255510714127839	00010
0.8391367802615323	0.09456985418059423	01
0.6994220127925739	0.3605393142953286	011
0.904510130437545	0.34788954139363126	011
0.23848905223106168	0.2577326521742542	0000
0.49205690858419054	0.23157070647382838	010
0.5794898970684803	0.3674806464793768	0001
0.7707608678381002	0.3280819338805633	010
0.5733902691396733	0.4075024941802461	011
0.31640881087421546	0.30019751901351255	01010
0.5290398416025327	0.29405335298093493	000
0.9841264195273741	0.35761517694773226	0
0.5834718715730324	0.282066450087768	000011
0.8837016793776177	0.21877421722823542	01
0.5267612461511912	0.2696008157967924	001101
0.5301364556844335	0.2999023110416434	01111
0.26299508729316523	0.40982451796198427	001
0.6675081182070033	0.38331697742885185	0
0.47102035906015716	0.22848837209302325	0100
0.9724072178671116	0.24494870913719077	0010
0.3690767820702293	0.26612021541778874	01
0.7551304189891918	0.237181626971889	0001100
0.7759825191609939	0.3100760559905585	011011
0.46216726926642904	0.34039464123764923	00100101
1.017227916706675	0.30335033428735875	000001
0.702560216881708	0.34590513656219385	0000
0.1946901957481278	0.2678749239228469	0011
0.21464323156417797	0.28738030660230257	01001
0.5188387330272226	0.2741964470614054	011001
0.23790540242521724	0.3537687693598994	0100100
0.41763831386186145	0.34020178905762427	000
0.23770388989515082	0.28173864133713267	0010
0.6215138378040155	0.38595744680851063	0001
0.4501686754408988	0.384265374127602	001
0.41953249605376974	0.43335845042329685	000
0.6177481553588356	0.36690792061582495	00
0.33037222441200076	0.23101363142402445	0010
0.3993837369295132	0.29017127713691243	011
0.13993673902179016	0.2869049936721263	011
0.39547094493803503	0.2113990641291165	0000
1.0924185022381108	0.19212961663749048	000
0.314162626885422	0.33493063505362036	0110
0.45316513930620583	0.3610835170109997	011
0.6745819642119122	0.20000509012576684	000
0.39974168932443055	0.32886597938144335	0110
0.3470338953828398	0.31634694269081604	00100
0.7372808648501986	0.21900916368236625	01101
0.3997736553520674	0.21906788608487085	0
0.5430292641614531	0.20101563336394657	0111
0.6026617907303813	0.2371900826446281	00
0.685294307896272	0.2512606174071151	0011110
0.6826482810569783	0.2627155171615121	011
0.7107432070387105	0.24717518992282664	0111
0.46329311999766876	0.3986270022883295	00
0.5064020802542744	0.3141847227322806	00000
0.3803987972483817	0.3471123504913666	01101
0.40623522473795637	0.29509886856296924	000
0.4862125198619873	0.3113408698857962	00000
0.6455870534634072	0.3612974643992056	0001
0.700278612824353	0.31188324922836974	0010
0.4329000379899889	0.18464148412361198	010111
0.2202203436895295	0.36662080434041594	0011
0.18430290839404004	0.3924205378973105	011
0.39007781995839585	0.3512061869066903	0100
0.5905138851026973	0.3294579093537118	0010
0.33049786145704557	0.38593022223285034	011
0.28038258245039566	0.3076297667695008	0110
0.8845033910869908	0.3184672036837327	0011
0.4119966485181222	0.3040710736924545	001001
0.3366125101045821	0.2812516245383775	01
0.7745071433980394	0.37440365099851164	00
0.4128425082087681	0.3346664726591778	000101
0.5624223496891163	0.3020280811232449	011
0.5146866180965628	0.3034319375375043	00000
0.4734062332738539	0.25601186332960085	011
0.6117386536937649	0.24478417266187052	010
0.4506893959625904	0.28944604189715956	0101
0.7911103745282062	0.25086867254302136	0100011
0.331415829169844	0.17196114435366092	00
0.2542528010799114	0.35378790838085283	01
0.42482875166059225	0.29338030703116297	010
0.23439391929378672	0.28732097773985005	01001
0.6260977355802669	0.2284859208588022	00
0.6033802430063631	0.26647005261027923	0111
0.4265380342849273	0.3128696913036608	00
0.6696882347179016	0.25316532686908655	00
0.689719999323389	0.38090294329252755	010
0.38907936724390013	0.37955136540962287	00110
0.5601482146710465	0.41022554293442337	00100
0.3776178282658136	0.3172135410753979	0010
0.6538809991300204	0.22355110483267082	001
0.10842206642889429	0.2305155199089819	01011
0.7755490250058867	0.3482352025964316	0110
0.31597370472061104	0.3120164498310112	000
0.5448773958214147	0.30033339412265614	0101
0.41982261826534895	0.34616360169686283	001
0.4896601111257921	0.19307624399637138	0111
0.3245955668825574	0.2999044973085605	0000
0.3871680748784999	0.3345508290136268	0001
0.4237752874876124	0.34610147806402786	011101
0.2852591984929086	0.20404411764705885	0
0.3132144455659158	0.20102633566044484	010
0.25254343970672744	0.29838553473656393	0101000
0.6224325640436834	0.3420950387413232	000101
0.7316538386056208	0.2827265948667509	000
0.6408878993361025	0.35175026437312557	000010
0.44925857795041524	0.4697961223384952	0110
0.7824146987413111	0.3250183293011782	0100
0.5171057606348929	0.23705882352941177	001
0.2535943451096502	0.2758734907229772	011
0.22199913058238666	0.2594720130214665	00110101
0.553285952428054	0.22250421186268995	0111
0.2288536326188512	0.2478988402901446	010
0.49713095395458984	0.2815940352553625	00
0.46150374678814177	0.23213430639838947	00
0.14831788375955715	0.22882325499224454	001
0.10566582917540418	0.28610134174954455	0
0.7846100419878228	0.4528598608822774	011
0.28522889132973733	0.19660170719489153	0001
0.39419242499048973	0.32986839352237957	0110
0.5716673739253527	0.34107629755500146	0010001
0.6969789668286533	0.40017857774466736	010
0.3229171648350843	0.3183658788735315	010
0.3711278262693834	0.33103155644826937	011001
0.7124693924967437	0.16620111731843573	001
0.2894598408821005	0.32542688448179086	01001
